2018-07-10 19:31:48,230-INFO: 
*********************2018-07-10_19-31-48 Mason_bbox2mysql*********************
2018-07-10 19:31:48,230-INFO: read index table from database to get id_project and task bounds
2018-07-10 19:31:48,230-INFO: connet to MySQL...
2018-07-10 19:31:50,681-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,682-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,683-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,684-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,685-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,686-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,688-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,689-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,690-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,691-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,692-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,693-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,694-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,695-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,696-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,698-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,699-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,700-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,701-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,702-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,703-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,704-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,706-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,707-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,708-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,709-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,710-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,711-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,712-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,714-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,715-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,716-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,717-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,718-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,720-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,721-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,723-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,724-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,725-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,726-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,727-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,728-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,729-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,730-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,732-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,732-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,733-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,734-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,735-INFO: The 2 row insert commit,project:189 task:2513
